STRING	INT	INT	FLOAT	INT	INT
对象名称$1$	基础熟练度	对应技能等级	损耗比例	AbilityId	编号（对象的编号）
銅礦脈	1	1	0	8	20003001
錫礦	2	10	0.2	8	20003002
鐵礦	4	15	0.4	8	20003003
玄鐵礦	8	20	0.8	8	20003004
銀礦	16	25	1.6	8	20003005
血滴銀礦	32	30	3.2	8	20003006
金礦	64	35	6.4	8	20003007
白金礦	128	40	12.8	8	20003008
黑石礦	256	45	25.6	8	20003009
金剛石礦	512	50	51.2	8	20003010
草魚	1	1	0	10	20002001
鮑魚	2	10	0.2	10	20002002
鯉魚	4	15	0.4	10	20002003
鱘龍魚	8	20	0.8	10	20002004
桂魚	16	25	1.6	10	20002005
甲魚	32	30	3.2	10	20002006
螃蟹	64	35	6.4	10	20002007
武昌魚	128	40	12.8	10	20002008
河豚	256	45	25.6	10	20002009
金龍魚	512	50	51.2	10	20002010
