INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
id	opt_type	time_type	time_start	sceneid	scriptid	time_slice	reserve1	reserve2	reserve3	reserve4	reserve5	¹ã²¥ÀàÐÍ	Âý±¨¼ä¸ô	Âý±¨ÄÚÈÝ$1$	Âý±¨½áÊøÊ±¼äµã	¿ì±¨¼ä¸ô	¿ì±¨ÄÚÈÝ$1$	¿ì±¨½áÊøÊ±¼äµã	¸Õ¿ª±¨¼ä¸ô	¸Õ¿ª±¨ÄÚÈÝ$1$	¸Õ¿ª±¨½áÊøÊ±¼äµã	½øÐÐÖÐ±¨¼ä¸ô	½øÐÐÖÐ±¨ÄÚÈÝ$1$	½øÐÐÖÐ±¨½áÊøÊ±¼äµã	¿ì½áÊø±¨¼ä¸ô	¿ì½áÊø±¨ÄÚÈÝ$1$	½áÊøÊ±¼äµã	ruler	»î¶¯Ãû³Æ$1$	Ê§Ð§Ê±¼ä

#<00>id	»î¶¯±àºÅ																													
#<01>opt_type	LoÕi hoÕt ðµng : 0:chï 1 l¥n;1: l£p ði l£p lÕi																													
#<02>time_type	th¶I gian hoÕt ðµng : 0: chï 1 l¥n;1 l¥n 1 ngày;2:1 l¥n 1 tu¥n;3: 1 l¥n 1 tháng																													
#<03>time_start	th¶I gian b¡t ð¥u: Ð½n v¸ tính theo m²i 15 phút (0.25 gi¶) = 1 ð½n v¸. Max = 23:45 = 95																								
#<04>sceneid	sceneid sñ ki®n -1 : t¤t cä map																													
#<05>scriptid	ID script thñc hi®n · OnDefaultEvent																													
#<06>time_slice	th¶I gian b¡t ð¥u ; ð½n v¸ th¶I gian																													
#<07>reserve1																														
#<08>reserve2																														
#<09>reserve3																														
#<10>reserve4																														
#<11>reserve5																														
#<28>ruler	TrÕng thái PK (pvp Rule)																													
#<30>time_invalid	Th¶i gian kªt thúc: -1~Không gi¾i hÕn																													

																														
0	0	1	66	0	808000	0	0	0	0	0	0	4	30	#{QJ_20080317_01}	230	3	#{QJ_20080317_02}	240	10	#{QJ_20080317_03}	320	3	#{QJ_20080317_04}	329	1	#{QJ_20080317_05}	330	0	KÏ cuµc	-1
