INT	STRING	STRING	INT	INT	INT	INT	INT	INT
ID	特性名称$1$	图标	C-phy	C-magic	C-cold	C-fire	C-light	C-poison
0	少林		57500	15000	1000000	1000000	1500000	1000000
1	明教		57500	15000	1000000	1500000	1000000	1000000
2	丐幫		57500	15000	1000000	1250000	1000000	1300000
3	武當		3875	71250	1250000	1200000	1100000	1000000
4	峨嵋		3875	71250	1200000	1000000	1250000	1000000
5	星宿		3875	71250	1000000	1000000	1000000	1500000
6	大理		43750	43750	1150000	1150000	1150000	1150000
7	天山		57500	15000	1500000	1000000	1000000	1000000
8	逍遙		3875	71250	1000000	1300000	1000000	1250000
9	標準		3875	71250	1000000	1000000	1500000	1000000
10	NPC		63750	63750	1000000	1000000	1000000	1000000
11	外功攻擊型寵物：鐵骨錚錚，剛健威猛，以勁力見長	PetAttack_Type1	52900	13800	1000000	1000000	1000000	1000000
12	內功攻擊型寵物：冥思馭氣，道法自然，以內力傷敵	PetAttack_Type2	3565	65550	1000000	1000000	1000000	1000000
13	平衡攻擊型寵物：平衡發展，博採眾長，雖無特長亦無破綻	PetAttack_Type3	40250	40250	1000000	1000000	1000000	1000000
