INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
Index	class(基本类型)	Quality(品质)	Type(类别)	Index(物品号)	EquipPoint(装备点)	Visual	适应规则	套装编号	套装件数	Name(名称)$1$	Lv(需求等级)	Desc(说明)$1$	基本价格	出售价格	Max耐久	修理失败上限	镶嵌宝石上限	技能ID	脚本ID	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	电攻击	电抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加魔法攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础魔法防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体制	定力	身法	悟性	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	基础物理攻击下限	基础物理攻击上限	基础魔法攻击下限	基础魔法攻击上限	基础攻击速度下限(废弃)	基础攻击速度上限(废弃)	基础物理防御下限	基础物理防御上限	基础魔法防御下限	基础魔法防御上限	基础闪避下限	基础闪避上限	图标	类型描述	NameID	颜色	是否广播
10200001	1	2	0	1	0	411	1	-1	-1	銀背砍山刀	10	普通大刀，刀身呈長條狀，適合初入江湖者使用。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_2	刀斧类	2000	2002	0
10200002	1	2	0	2	0	414	1	-1	-1	飛鐮大砍刀	20	刀刃彎曲，有鐮狀波浪，刀身上刻有飛月圖案，可砍可劈，使用方便。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_7	刀斧类	2001	2002	0
10200003	1	2	0	3	0	424	1	-1	-1	雙翅開山鉞	30	鉞柄長而細，鉞刃玲瓏小巧，鋒利絕倫，如飛禽展翅，故此得名。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_10	刀斧类	2002	2002	0
10200004	1	2	0	4	0	415	1	-1	-1	八卦宣花斧	40	斧長九尺五寸，重八十二斤，刀身上鑲有八卦圖，因而得名，傳為三國名將所用，使用者需力大如牛。	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	刀斧类	2003	2002	0
10200005	1	2	0	5	0	430	1	-1	-1	九龍方便鏟	50	九龍山千年金礦所鑄，簡單而方便使用，可鏟可拍，但威力巨大。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_3	刀斧类	2004	2002	0
10200006	1	2	0	6	0	432	1	-1	-1	金頂狼牙槊	60	華山真人所鑄，千年玄鐵萬年寒冰，集月之靈氣，遇月則威力漸強，直至摧月而生。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_7	刀斧类	2005	2002	0
10200007	1	2	0	7	0	435	1	-1	-1	神龍開天鉞	70	第一制兵器名家所制，將天地乾坤容納在這長短兩丈半之間，鋒薄如蟬翼，吹毛斷發。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_11	刀斧类	2006	2002	0
10200008	1	2	0	8	0	444	1	-1	-1	興亡	80	天下興亡，匹夫有責。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_16	刀斧类	2007	2002	0
10200009	1	2	0	9	0	450	1	-1	-1	塵緣	90	塵緣又起，誰人擔當？	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_5	刀斧类	2008	2002	0
