INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
ID	RaceID	ModelFile	ShowName$1$	MaterialName	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®
1	0	Å®Ö÷½ÇÁ³01.mesh	LoÕi hình xinh ð©p	Å®Ö÷½ÇÁ³01	30008020	1	3	Cloth8_8	50000
2	0	Å®Ö÷½ÇÁ³02.mesh	LoÕi hình trí tu®	Å®Ö÷½ÇÁ³02	30008020	1	3	Cloth8_8	50000
3	0	Å®Ö÷½ÇÁ³03.mesh	LoÕi hình vui vë	Å®Ö÷½ÇÁ³03	30008020	1	3	Cloth8_8	50000
4	0	Å®Ö÷½ÇÁ³04.mesh	LoÕi hình cao quý	Å®Ö÷½ÇÁ³04	30008020	1	3	Cloth8_8	50000
5	0	Å®Ö÷½ÇÁ³05.mesh	LoÕi hình thøc næ	Å®Ö÷½ÇÁ³05	30008020	1	3	Cloth8_8	50000
6	0	Å®Ö÷½ÇÁ³06.mesh	Mê Ho£c Hình	Å®Ö÷½ÇÁ³06	30008020	1	2	Cloth8_8	50000
7	0	Å®Ö÷½ÇÁ³07.mesh	Khuôn m£t	Å®Ö÷½ÇÁ³07	30008020	1	2	Cloth8_8	50000
8	0	Å®Ö÷½ÇÁ³08.mesh	Thß½ng Tang Hình	Å®Ö÷½ÇÁ³08	30008020	1	2	Cloth8_8	50000
9	0	Å®Ö÷½ÇÁ³09.mesh	Mông Lung Hình	Å®Ö÷½ÇÁ³09	30008020	1	2	Cloth8_8	50000
10	0	Å®Ö÷½ÇÁ³10.mesh	Cu°ng Dã Hình	Å®Ö÷½ÇÁ³10	30008020	1	2	Cloth8_8	50000
11	0	Å®Ö÷½ÇÁ³11.mesh	Th¸ NgÕo Hình	Å®Ö÷½ÇÁ³11	30008020	1	2	Cloth8_8	50000
12	1	ÄÐÖ÷½ÇÁ³01.mesh	LoÕi hình kiên cß¶ng	ÄÐÖ÷½ÇÁ³01	30008020	1	3	Cloth8_8	50000
13	1	ÄÐÖ÷½ÇÁ³02.mesh	LoÕi hình dûng cäm	ÄÐÖ÷½ÇÁ³02	30008020	1	3	Cloth8_8	50000
14	1	ÄÐÖ÷½ÇÁ³03.mesh	LoÕi hình quyªt ðoán	ÄÐÖ÷½ÇÁ³03	30008020	1	3	Cloth8_8	50000
15	1	ÄÐÖ÷½ÇÁ³04.mesh	LoÕi hình tñ tin	ÄÐÖ÷½ÇÁ³04	30008020	1	3	Cloth8_8	50000
