INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
ID	Name	By the number of quasi-	ModelID	AddHeight	RideRecipe	Take the action the main index group	Main bind point	Vice-sitting action group index	Vice-binding point	Mount mobile voice ID	Whether the jump
0	H±	1	1010	0.5	447	0	attach1	0	attach1	-1	1
1	Hoàng Phiêu Mã	1	1011	0.6	448	1	attach1	1	attach1	-1	1
2	Khôi Lang	1	1012	0.5	455	2	attach1	2	attach1	-1	1
3	Ðiêu	1	1007	0.5	454	3	attach1	3	attach1	-1	-1
4	Lµc	1	1014	0.6	453	4	attach1	4	attach1	-1	1
5	HÕc	1	1008	0.9	450	5	attach1	5	attach1	-1	-1
6	Thanh phßþng	1	1018	0.5	451	6	attach1	6	attach1	-1	-1
7	LÕc ðà	1	1015	0.6	449	7	attach1	7	attach1	-1	1
8	Ngßu	1	1016	0.6	452	8	attach1	8	attach1	-1	1
9	BÕch h±	1	1002	0.5	456	9	attach1	9	attach1	-1	1
10	Thanh bÕch thông mã	1	1017	0.6	457	10	attach1	10	attach1	-1	1
11	BÕch lang	1	1003	0.5	464	11	attach1	11	attach1	-1	1
12	BÕch ðiêu	1	1001	0.5	463	12	attach1	12	attach1	-1	-1
13	BÕch lµc	1	1004	0.6	462	13	attach1	13	attach1	-1	1
14	Kim dñc hÕc	1	1013	0.9	459	14	attach1	14	attach1	-1	-1
15	H°ng bÕch phßþng	1	1009	0.5	460	15	attach1	15	attach1	-1	-1
16	BÕch lÕc ðà	1	1005	0.6	458	16	attach1	16	attach1	-1	1
17	BÕch ngßu	1	1006	0.6	461	17	attach1	17	attach1	-1	1
18	Sß tØ	1	1019	0.6	561	18	attach1	18	attach1	-1	1
19	BÕch sß	1	1020	0.6	562	19	attach1	19	attach1	-1	1
20		1	-1	0.6	20	20	attach1	20	attach1	-1	1
21	T¦u ðiêu	1	1025	0.7	446	23	attach1	23	attach1	-1	1
22	T¦u bÕch ðiêu	1	1026	0.5	445	22	attach1	22	attach1	-1	1
23	Tßþng	2	1027	0.7	443	23	attach1	23	attach2	-1	1
24	BÕch tßþng	2	1028	0.7	444	23	attach1	24	attach2	-1	1
25	Song nhân ðiêu	2	1021	1.3	-1	31	Æï³Ëµã01	31	Æï³Ëµã02	-1	-1
26	Løc ngô	1	1029	0.6	440	24	attach1	24	attach1	-1	1
27	Mµc ngßu lßu mã	1	1030	0.6	439	25	attach1	25	attach1	-1	1
28	Ðà ði¬u	1	1031	0.6	436	23	attach1	23	attach1	-1	1
29	Tê ngßu	2	1032	0.7	442	23	attach1	23	attach2	-1	1
30	Hùng	1	1033	0.6	438	25	attach1	25	attach1	-1	1
31	Huy«n Qui	2	1034	0.5	441	26	attach1	26	attach2	-1	1
32	Phù vån kÜ sî	1	1035	0.6	437	24	attach1	24	attach1	-1	1
33	Hà mã	2	1036	0.7	430	23	attach1	23	attach2	-1	1
34	Mã xa	1	1037	0.7	431	27	attach1	27	attach1	-1	-1
35	Thiên mã	1	1038	0.7	432	25	attach1	25	attach1	-1	1
36	Th¯ tØ	1	1039	0.7	433	26	attach1	26	attach1	-1	1
37	Vû sß	1	1040	0.7	434	23	attach1	23	attach1	-1	1
38	Tu¥n lµc	1	1041	0.7	435	25	attach1	25	attach1	-1	1
39	Tuyªt vû	1	1042	0.7	429	28	attach1	28	attach1	-1	-1
40	Cñ nhân	1	1043	0.7	427	26	attach1	26	attach1	-1	1
41	ÐÕi løc long	2	1044	0.7	428	23	attach2	23	attach1	-1	-1
42	Mê lµc tuyªt khiêu	2	1045	0.7	425	27	attach1	27	attach2	-1	-1
43	Phan th¥n	2	1046	0.7	426	23	attach1	23	attach2	-1	1
44	Thiên sÑ xí bàng	1	1061	0.7	424	28	attach1	28	attach1	-1	-1
45	Xuân tiªt bÕch hùng	1	2051	0.6	438	25	attach1	25	attach1	-1	1
46	Bích thuÖ kim tinh thú	1	2172	0.7	532	23	attach1	23	attach1	-1	1
47	Toàn  chuy¬n mµc mã	2	2244	0.7	1079	23	attach1	23	attach2	-1	-1
48	Xuân tiªt niên thú	1	2253	0.7	1077	23	attach1	23	attach1	-1	1
49	Tình nhân tiªt hoa xa 1	2	2254	0.6	1078	26	attach1	26	attach2	-1	-1
50	BÕch vân	1	2293	0.7	1080	23	attach1	23	attach1	-1	1
51	H¡c th±	1	2294	0.7	1081	23	attach1	23	attach1	-1	1
52	Cñ viên	1	5023	0.7	1083	26	attach1	26	attach1	-1	1
53	Vø änh ðiêu	1	2365	0.5	1089	23	attach1	12	attach1	-1	-1
54	Lßu ly phßþng	1	2366	0.5	1084	23	attach1	15	attach1	-1	-1
55	ThuÜ liên hÕc	1	2367	0.9	1090	26	attach1	14	attach1	-1	-1
56	Nhß ý h±	1	2368	0.5	1087	23	attach1	9	attach1	-1	1
57	Ngân nguy®t lang	1	2369	0.5	1085	23	attach1	11	attach1	-1	1
58	Th¤t thái lµc	1	2370	0.6	1091	23	attach1	13	attach1	-1	1
59	Long huyªt mã	1	2371	0.6	1088	23	attach1	10	attach1	-1	1
60	Thanh mao ngßu	1	2372	0.6	1092	23	attach1	17	attach1	-1	1
61	Li®t di®m sß	1	2373	0.6	1086	23	attach1	19	attach1	-1	1
62	Huy­n vû	1	2376	0.7	528	28	attach1	28	attach1	-1	-1
63	Thi¬m ði®n ðiêu	1	2399	0.6	1093	25	attach1	25	attach1	-1	1
64	Ði®p vû	1	2419	0.7	1094	28	attach1	28	attach1	-1	-1
65	Ba thiên h±	1	2492	0.7	1095	23	attach1	23	attach1	-1	1
66	Linh dß½ng	1	2508	0.6	1097	25	attach1	25	attach1	-1	1
67	Tuyªt linh dß½ng	1	2509	0.6	1098	25	attach1	25	attach1	-1	1
68	U quang linh	1	2510	0.6	1099	23	attach1	17	attach1	-1	1
69	Phi long y	2	2512	0.6	1096	26	attach1	26	attach2	-1	-1
70	Hoä di®m ðiêu	1	2551	0.6	1123	25	attach1	25	attach1	-1	1
71	Hùng miêu	1	2552	0.7	1124	23	attach1	23	attach1	-1	1
72	Lôi nhçn thú	1	2553	0.7	1125	23	attach1	23	attach1	-1	1
73	Xích m¸ ßng	2	2554	0.7	1126	23	attach1	23	attach2	-1	-1
74	Ám m¸ ßng	2	2555	0.7	1127	23	attach1	23	attach2	-1	-1
75	TØ m¸ ßng	2	2556	0.7	1128	23	attach1	23	attach2	-1	-1
76	Khô mµc kh±i l²i	1	2597	0.7	1129	26	attach1	26	attach1	-1	1
77	Hoä vân tà thú	1	2598	0.7	1130	23	attach1	23	attach1	-1	1
78	Huy«n thiên lôi thú	1	2599	0.7	1131	23	attach1	23	attach1	-1	1
79	CØu châu th¥n long	6	2674	0.7	1140	23	attach1	23	attach2	-1	-1
80	Nguy®t th¯	1	2686	0.7	1141	26	attach1	26	attach1	-1	1
81	Giang nam toä giáp mã	1	2727	0.6	1142	23	attach1	10	attach1	-1	1
82	ÐÕi mÕc kim qua mã	1	2728	0.6	1143	23	attach1	10	attach1	-1	1
83	Yên vû thanh hà	1	2780	0.6	1146	26	attach1	26	attach1	-1	-1
84	Huy­n hoä xích lân thú	1	2778	0.6	1147	23	attach1	10	attach1	-1	1
85	Chích túc quÖ mã	1	2779	0.6	1150	23	attach1	10	attach1	-1	1
86	Thiên phúc c¦m lân	1	2781	0.7	1149	23	attach1	23	attach1	-1	-1
87	Thiên công linh lung thØ	1	2782	0.7	1148	26	attach1	26	attach1	-1	1
88	Løc hành ði¬u	1	2783	0.7	1145	23	attach1	23	attach1	-1	1
89	Kim lân vû sß	1	2798	0.7	1151	23	attach1	23	attach1	-1	1
90	Ký cß giäi	2	2801	0.7	1152	26	attach1	26	attach2	-1	1
91	Th¤t bäo liên toÕ	2	2838	0.6	1154	26	attach1	26	attach2	-1	-1
92	Xích lân bÕch trÕch	1	2840	0.7	1155	23	attach1	23	attach1	-1	1
93	Thanh lân bÕch trÕch	1	2839	0.7	1156	23	attach1	23	attach1	-1	1
94	Kim xí	1	2841	0.7	1153	23	attach1	23	attach1	-1	-1
95	Kim xí phø ki®n	1	2841	0.7	-1	23	attach1	23	attach1	-1	-1
96	Phï thuý ngñ giá	6	2926	0.7	1160	26	attach1	26	attach2	-1	-1
97	Yên vû thanh hà phø ki®n	1	2780	0.6	-1	26	attach1	26	attach1	-1	-1
98	Li®t di®m cu°ng tê	1	2962	0.7	1157	23	attach1	23	attach1	-1	1
