INT	INT	STRING	STRING	INT	INT	INT	STRING
ID	类型(策划分类用)	名称$1$	描述$1$	逻辑类型(程序用)	等级	时间	注释
0	1	系統佔用	設置等級稱號為0，即清除等級稱號	1	1	-1	设置等级称号为0，即清除等级称号
1	1	已廢棄	已廢棄	0	0	-1	
2	1	已廢棄	已廢棄	0	0	-1	
3	1	已廢棄	已廢棄	0	0	-1	
4	1	已廢棄	已廢棄	0	0	-1	
5	1	已廢棄	已廢棄	0	0	-1	
6	1	已廢棄	已廢棄	0	0	-1	
7	1	已廢棄	已廢棄	0	0	-1	
8	1	已廢棄	已廢棄	0	0	-1	
9	1	已廢棄	已廢棄	0	0	-1	
10	1	已廢棄	已廢棄	0	0	-1	
11	1	已廢棄	已廢棄	0	0	-1	
12	1	已廢棄	已廢棄	0	0	-1	
13	1	已廢棄	已廢棄	0	0	-1	
14	1	已廢棄	已廢棄	0	0	-1	
15	1	已廢棄	已廢棄	0	0	-1	
16	1	已廢棄	已廢棄	0	0	-1	
17	1	已廢棄	已廢棄	0	0	-1	
18	1	已廢棄	已廢棄	0	0	-1	
19	1	已廢棄	已廢棄	0	0	-1	
20	1	已廢棄	已廢棄	0	0	-1	
21	1	已廢棄	已廢棄	0	0	-1	
22	1	已廢棄	已廢棄	0	0	-1	
23	1	已廢棄	已廢棄	0	0	-1	
24	1	已廢棄	已廢棄	0	0	-1	
25	1	已廢棄	已廢棄	0	0	-1	
26	1	已廢棄	已廢棄	0	0	-1	
27	1	已廢棄	已廢棄	0	0	-1	
28	1	已廢棄	已廢棄	0	0	-1	
29	1	已廢棄	已廢棄	0	0	-1	
30	1	已廢棄	已廢棄	0	0	-1	
31	1	已廢棄	已廢棄	0	0	-1	
32	1	已廢棄	已廢棄	0	0	-1	
33	1	已廢棄	已廢棄	0	0	-1	
34	1	已廢棄	已廢棄	0	0	-1	
35	1	已廢棄	已廢棄	0	0	-1	
36	1	已廢棄	已廢棄	0	0	-1	
37	1	已廢棄	已廢棄	0	0	-1	
38	1	已廢棄	已廢棄	0	0	-1	
39	1	已廢棄	已廢棄	0	0	-1	
40	1	已廢棄	已廢棄	0	0	-1	
41	1	已廢棄	已廢棄	0	0	-1	
42	1	已廢棄	已廢棄	0	0	-1	
43	1	已廢棄	已廢棄	0	0	-1	
44	1	已廢棄	已廢棄	0	0	-1	
45	1	已廢棄	已廢棄	0	0	-1	
46	1	已廢棄	已廢棄	0	0	-1	
47	1	已廢棄	已廢棄	0	0	-1	
48	1	已廢棄	已廢棄	0	0	-1	
49	1	已廢棄	已廢棄	0	0	-1	
50	1	已廢棄	已廢棄	0	0	-1	
51	1	已廢棄	已廢棄	0	0	-1	
52	1	已廢棄	已廢棄	0	0	-1	
53	1	已廢棄	已廢棄	0	0	-1	
54	1	已廢棄	已廢棄	0	0	-1	
55	1	已廢棄	已廢棄	0	0	-1	
56	1	已廢棄	已廢棄	0	0	-1	
57	1	已廢棄	已廢棄	0	0	-1	
58	1	已廢棄	已廢棄	0	0	-1	
59	1	已廢棄	已廢棄	0	0	-1	
60	1	已廢棄	已廢棄	0	0	-1	
61	1	已廢棄	已廢棄	0	0	-1	
62	1	已廢棄	已廢棄	0	0	-1	
63	1	已廢棄	已廢棄	0	0	-1	
64	1	已廢棄	已廢棄	0	0	-1	
65	1	已廢棄	已廢棄	0	0	-1	
66	1	已廢棄	已廢棄	0	0	-1	
67	1	已廢棄	已廢棄	0	0	-1	
68	1	已廢棄	已廢棄	0	0	-1	
69	1	已廢棄	已廢棄	0	0	-1	
70	1	已廢棄	已廢棄	0	0	-1	
71	1	已廢棄	已廢棄	0	0	-1	
72	1	已廢棄	已廢棄	0	0	-1	
73	1	已廢棄	已廢棄	0	0	-1	
74	1	已廢棄	已廢棄	0	0	-1	
75	1	已廢棄	已廢棄	0	0	-1	
76	1	已廢棄	已廢棄	0	0	-1	
77	1	已廢棄	已廢棄	0	0	-1	
78	1	已廢棄	已廢棄	0	0	-1	
79	1	已廢棄	已廢棄	0	0	-1	
80	1	已廢棄	已廢棄	0	0	-1	
81	1	已廢棄	已廢棄	0	0	-1	
82	1	已廢棄	已廢棄	0	0	-1	
83	1	已廢棄	已廢棄	0	0	-1	
84	1	已廢棄	已廢棄	0	0	-1	
85	1	已廢棄	已廢棄	0	0	-1	
86	1	已廢棄	已廢棄	0	0	-1	
87	1	已廢棄	已廢棄	0	0	-1	
88	1	已廢棄	已廢棄	0	0	-1	
89	1	已廢棄	已廢棄	0	0	-1	
90	1	已廢棄	已廢棄	0	0	-1	
91	2	$N的夫君	在天願做比翼鳥，在地願做連理枝。	2	1	-1	夫妻
92	2	$N的娘子	在天願做比翼鳥，在地願做連理枝。	2	1	-1	夫妻
93	3	昭武校尉	低級士兵，初建功勳，繼續努力。	3	1	-1	从军（已废弃）
94	3	昭武校尉	低級士兵，初建功勳，繼續努力。	3	2	-1	从军（已废弃）
95	3	振威中郎將	初級將領，屢建功勳，再接再厲。	3	3	-1	从军（已废弃）
96	3	驃騎將軍	中級將領，功勳卓著，再接再厲。	3	4	-1	从军（已废弃）
97	3	神武大將軍	神武大將，英明神武，威震寰宇。	3	5	-1	从军（已废弃）
98	4	護壇童兒	初級驅鬼師，初建功勳，繼續努力。	4	1	-1	驱鬼（已废弃）
99	4	陸地飛仙	中級驅鬼師，屢建功勳，再接再厲。	4	2	-1	驱鬼（已废弃）
100	4	降魔上仙	高級驅鬼師，功勳卓著，再接再厲。	4	3	-1	驱鬼（已废弃）
101	4	天罡真君	極品驅鬼師，降妖伏魔，除魔衛道。	4	4	-1	驱鬼（已废弃）
102	5	黃豹鏢衛	初級鏢師，初建功勳，繼續努力。	5	1	-1	运镖（已废弃）
103	5	赤虎鏢師	中級鏢師，屢建功勳，再接再厲。	5	2	-1	运镖（已废弃）
104	5	黑鳳鏢頭	高級鏢師，功勳卓著，再接再厲。	5	3	-1	运镖（已废弃）
105	5	白龍總鏢頭	極品鏢師，運鏢能人，業界典範。	5	4	-1	运镖（已废弃）
106	6	狀元	學識淵博，文才超群，天下無雙！	6	3	-1	科举（已废弃）
107	6	榜眼	學識過人，文才出眾，天下第二！	6	2	-1	科举（已废弃）
108	6	探花	學識過人，文才出眾，天下第三！	6	1	-1	科举（已废弃）
109	7	美食大王	廚藝高超，冠絕天下！	7	1	-1	特殊（不处理）
110	7	妙手回春	回春妙手，華佗再世！	7	1	-1	特殊（不处理）
111	7	寶石專家	極品寶石，必我所出！	7	1	-1	特殊（不处理）
112	7	鑄劍大師	鑄劍大師，幹將再生！	7	1	-1	特殊（不处理）
113	7	制衣能手	制衣能手，當今黃道婆！	7	1	-1	特殊（不处理）
114	7	巧手神匠	巧手神匠，魯班再世！	7	1	-1	特殊（不处理）
115	7	無雙才子	文才出眾，風度翩翩！	7	1	-1	特殊（不处理）
116	7	采藥專家	神農再世，嘗遍百草！	7	1	-1	特殊（不处理）
117	7	採礦專家	採礦專家，礦業典範！	7	1	-1	特殊（不处理）
118	7	挖寶大師	獨具慧眼，寶藏終結者！	7	1	-1	特殊（不处理）
119	7	天師傳人	天師傳人，才是名人！	7	1	-1	特殊（不处理）
120	7	釣魚高手	太公釣魚，願者上鉤。	7	1	-1	特殊（不处理）
121	7	商業巨頭	商業龍頭，富甲一方。	7	1	-1	特殊（不处理）
122	7	武林第N大幫	您的門派是武林第N大幫。	7	1	-1	特殊（不处理）
123	7	模範夫妻	知心愛人，夫妻典範！	7	1	-1	特殊（不处理）
124	8	漕運商	初級漕運商人，漕運伊始，繼續努力。	6	1	-1	漕运
125	8	漕運走卒	二級漕運商人，漕運熟手，繼續努力。	6	2	-1	漕运
126	8	漕運押解官	三級漕運商人，漕運能手，再接再厲。	6	3	-1	漕运
127	8	漕運統領	四級漕運商人，漕運高手，再接再厲。	6	4	-1	漕运
128	8	漕運調度副使	五級漕運商人，漕運名人，再接再厲。	6	5	-1	漕运
129	8	漕運調度使	六級漕運商人，漕運權威，業界典範。	6	6	-1	漕运
130	8	漕運總提調	七級漕運商人，漕運神話，不朽傳奇。	6	7	-1	漕运
131	9	平賊士兵	殺賊勇猛，衝鋒在前！	17	1	-1	贼兵入侵
132	9	平賊隊長	殺賊高手，無往不利！	17	2	-1	贼兵入侵
133	9	平賊統領	殺賊精英，賊兵剋星！	17	3	-1	贼兵入侵
134	9	蕩寇將軍	大將之才，蕩平群賊！	17	4	-1	贼兵入侵
135	9	蕩寇元帥	元帥之才，蕩平群賊！	17	5	-1	贼兵入侵
136	10	比武大會狀元	武藝超群，傲視天下。	18	3	168	比武大会
137	10	比武大會榜眼	武功卓絕，天下第二。	18	2	168	比武大会
138	10	比武大會探花	武林高手，天下第三。	18	1	168	比武大会
139	11	科舉狀元	學識淵博，在科舉考試中力壓群儒！	5	3	168	科举
140	11	科舉榜眼	學識過人，在科舉考試中獲得第二！	5	2	168	科举
141	11	科舉探花	學識過人，在科舉考試中獲得第三！	5	1	168	科举
