INT	INT
Level	Exp
1	10
2	12
3	14
4	18
5	20
6	22
7	24
8	28
9	30
10	40
11	44
12	46
13	50
14	56
15	60
16	66
17	72
18	80
19	88
20	98
21	110
22	122
23	136
24	152
25	172
26	194
27	218
28	246
29	274
30	314
31	358
32	404
33	454
34	508
35	564
36	624
37	690
38	758
39	830
40	906
41	988
42	1076
43	1170
44	1268
45	1372
46	1482
47	1598
48	1720
49	1848
50	1982
51	2124
52	2274
53	2428
54	2592
55	2762
56	2938
57	3124
58	3316
59	3518
60	3728
61	3944
62	4170
63	4404
64	4648
65	4900
66	5172
67	5476
68	5814
69	6182
70	6588
71	7028
72	7504
73	8018
74	8572
75	9194
76	9886
77	10652
78	11492
79	12408
80	13646
81	15522
82	18368
83	22528
84	28362
85	36246
86	46568
87	59730
88	76152
89	96264
90	120514
91	149360
92	183282
93	222764
94	268314
95	320450
96	379702
97	446620
98	521764
99	605712
100	615336
101	625222
102	635374
103	645798
104	656500
105	667484
106	678756
107	690320
108	702184
109	714352
110	726830
111	739622
112	752736
113	766174
114	779944
115	794052
116	808500
117	823296
118	838446
119	853952
120	869824
121	886062
122	902676
123	919670
124	937050
125	954820
126	972986
127	991552
128	1010526
129	1029912
130	1049716
131	1069942
132	1090598
133	1111686
134	1133214
135	1155188
136	1177610
137	1200488
138	1223828
139	1247632
140	1271910
141	1296662
142	1321900
143	1347622
144	1373840
145	1448886
146	1533454
147	1628260
148	1734038
149	1851530
150	19690
151	20865
152	22040
153	23215
154	24390
155	25565
156	26740
157	27915
158	29090
159	30265
160	31440
161	32615
162	33790
163	34965
164	36140
165	37315
166	38490
167	39665
168	40840
169	42015
170	43190
171	44365
172	45540
173	46715
174	47890
175	49065
176	50240
177	51415
178	52590
179	53765
180	54940
181	56115
182	57290
183	58465
184	59640
185	60815
186	61990
187	63165
188	64340
189	65515
190	66690
191	67865
192	69040
193	70215
194	71390
195	72565
196	73740
197	74915
198	76090
199	77265
200	78440
201	79615
202	80790
203	81965
204	83140
205	84315
206	85490
207	86665
208	87840
209	89015
210	90190
211	91365
212	92540
213	93715
214	94890
215	96065
216	97240
217	98415
218	99590
219	100765
220	101940
221	103115
222	104290
223	105465
224	106640
225	107815
226	108990
227	110165
228	111340
229	112515
230	113690
231	114865
232	116040
233	117215
234	118390
235	119565
236	120740
237	121915
238	123090
239	124265
240	125440
241	126615
242	127790
243	128965
244	130140
245	131315
246	132490
247	133665
248	134840
249	136015
250	137190
251	138365
252	139540
253	140715
254	141890
255	143065
