INT	INT	INT	STRING	INT	INT	INT		
Index	ÓÐÐ§ÆÚ(Ð¡Ê±)	´«ÊäÑÕÉ«	¸½¼ÓÊôÐÔÃèÊö$1$	ÊÇ·ñÏÔÊ¾	Ôª±¦½»Ò×ÀàÐÍ:0¿ÉÔª±¦½»Ò×£¬1²»¿ÉÔª±¦½»Ò×£¬2¼´¿ÉÔª±¦½»Ò×Ò²¿É½ð±Ò½»Ò×	ÂôµêÊÇ·ñ»ñµÃ½»×Ó£¬1»ñµÃ½»×Ó£¬0»ñµÃ½ð±Ò		
10124009	-1	2005	-1		1	0		
10124010	-1	2005	-1		1	0		
10124011	-1	2005	-1		1	0		
10124012	-1	2005	-1		1	0		
10124013	-1	2005	-1		1	0		
10124014	-1	2005	-1		1	0		
10124015	-1	2005	-1		1	0		
10124016	-1	2005	-1		1	0		
10124017	-1	2005	-1		1	0		
10124018	720	2005	-1		1	0		
10124019	720	2005	-1		1	0		
10124020	2160	2005	-1		1	0		
10124021	2160	2005	-1		1	0		
10124022	720	2005	-1		1	0		
10124023	720	2005	-1		1	0		
10124024	720	2005	-1		1	0		
10124025	720	2005	-1		1	0		
10124026	2160	2005	-1		1	0		
10124027	2160	2005	-1		1	0		
10124030	2160	2005	-1		1	0		
10124031	2160	2005	-1		1	0		
10124032	2160	2005	-1		1	0		
10124033	2160	2005	-1		1	0		
10124034	2160	2005	-1		1	0		
10124035	-1	2005	-1		1	0		
10124036	-1	2005	-1		1	0		
10124039	-1	2005	-1		1	0		
10124040	-1	2005	-1		1	0		
10124041	-1	2005	-1		1	0		
10124042	-1	2005	-1		1	0		
10124043	720	2005	-1		1	0		
10124044	720	2005	-1		1	0		
10124045	720	2005	-1		1	0		
10124046	720	2005	-1		1	0		
10124047	720	2005	-1		1	0		
10124048	720	2005	-1		1	0		
10124049	720	2005	-1		1	0		
10124050	720	2005	-1		1	0		
10124051	2160	2005	-1		1	0		
10124052	2160	2005	-1		1	0		
10124053	2160	2005	-1		1	0		
10124054	2160	2005	-1		1	0		
10124055	2160	2005	-1		1	0		
10124056	2160	2005	-1		1	0		
10124057	2160	2005	-1		1	0		
10124058	2160	2005	-1		1	0		
10124059	-1	2005	-1		1	0		
10124060	-1	2005	-1		1	0		
10124061	-1	2005	-1		1	0		
10124062	-1	2005	-1		1	0		
10124063	-1	2005	-1		1	0		
10124064	-1	2005	-1		1	0		
10124065	-1	2005	-1		1	0		
10124066	-1	2005	-1		1	0		
10124067	720	2005	-1		1	0		
10124068	2160	2005	-1		1	0		
10124069	-1	2005	-1		1	0		
10124070	720	2005	-1		1	0		
10124071	720	2005	-1		1	0		
10124072	-1	2005	-1		1	0		
10124073	720	2005	-1		1	0		
10124074	2160	2005	-1		1	0		
10124075	-1	2005	-1		1	0		
10124076	720	2005	-1		1	0		
10124077	720	2005	-1		1	0		
10124078	720	2005	-1		1	0		
10124079	720	2005	-1		1	0		
10124080	720	2005	-1		1	0		
10124081	720	2005	-1		1	0		
10124082	1440	2005	-1		1	0		
10124083	720	2005	-1		1	0		
10124084	2160	2005	-1		1	0		
10124085	-1	2005	-1		1	0		
10124086	4320	2005	-1		1	0		
10124087	2160	2005	-1		1	0		
10124088	2160	2005	-1		1	0		
10124089	720	2005	-1		1	0		
