INT	INT	INT	INT
宝石ID	雕琢后宝石ID	需要物品ID	需要金钱
50102001	50102005	30900026	10000
50102002	50102006	30900026	10000
50102003	50102007	30900026	10000
50102004	50102008	30900026	10000
50112001	50112005	30900026	10000
50112002	50112006	30900026	10000
50112003	50112007	30900026	10000
50112004	50112008	30900026	10000
50202001	50202005	30900027	20000
50202002	50202006	30900027	20000
50202003	50202007	30900027	20000
50202004	50202008	30900027	20000
50212001	50212005	30900027	20000
50212002	50212006	30900027	20000
50212003	50212007	30900027	20000
50212004	50212008	30900027	20000
50302001	50302005	30900028	30000
50302002	50302006	30900028	30000
50302003	50302007	30900028	30000
50302004	50302008	30900028	30000
50312001	50312005	30900028	30000
50312002	50312006	30900028	30000
50312003	50312007	30900028	30000
50312004	50312008	30900028	30000
50402001	50402005	30900029	40000
50402002	50402006	30900029	40000
50402003	50402007	30900029	40000
50402004	50402008	30900029	40000
50412001	50412005	30900029	40000
50412002	50412006	30900029	40000
50412003	50412007	30900029	40000
50412004	50412008	30900029	40000
50502001	50502005	30900030	50000
50502002	50502006	30900030	50000
50502003	50502007	30900030	50000
50502004	50502008	30900030	50000
50512001	50512005	30900030	50000
50512002	50512006	30900030	50000
50512003	50512007	30900030	50000
50512004	50512008	30900030	50000
50602001	50602005	30900031	60000
50602002	50602006	30900031	60000
50602003	50602007	30900031	60000
50602004	50602008	30900031	60000
50612001	50612005	30900031	60000
50612002	50612006	30900031	60000
50612003	50612007	30900031	60000
50612004	50612008	30900031	60000
50702001	50702005	30900032	70000
50702002	50702006	30900032	70000
50702003	50702007	30900032	70000
50702004	50702008	30900032	70000
50712001	50712005	30900032	70000
50712002	50712006	30900032	70000
50712003	50712007	30900032	70000
50712004	50712008	30900032	70000
50802001	50802005	30900033	80000
50802002	50802006	30900033	80000
50802003	50802007	30900033	80000
50802004	50802008	30900033	80000
50812001	50812005	30900033	80000
50812002	50812006	30900033	80000
50812003	50812007	30900033	80000
50812004	50812008	30900033	80000
50902001	50902005	30900034	90000
50902002	50902006	30900034	90000
50902003	50902007	30900034	90000
50902004	50902008	30900034	90000
50912001	50912005	30900034	90000
50912002	50912006	30900034	90000
50912003	50912007	30900034	90000
50912004	50912008	30900034	90000
#Ch鈔 nguy阯
30010000	30010000	30010000	90000
30010001	30010001	30010001	90000
30010002	30010002	30010002	90000
30010003	30010003	30010003	90000
30010004	30010004	30010004	90000
30010005	30010005	30010005	90000
30010006	30010006	30010006	90000
30010007	30010007	30010007	90000
30010008	30010008	30010008	90000
30010009	30010009	30010009	90000
30010010	30010010	30010010	90000
30010011	30010011	30010011	90000
30010012	30010012	30010012	90000
30010013	30010013	30010013	90000
