INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
编号	名称$1$	对应模型	对应生活技能ID	对应任务ID	Tips默认$1$	打开时间默认	脚本ID	打开动画
1	銅礦	草药矿石/铜矿石.obj	7				710000	
2	鐵礦	草药矿石/铁矿石.obj	7				710000	
3	銀礦	草药矿石/银矿石.obj	7				710000	
4	寒鐵礦	草药矿石/寒铁矿石.obj	7				710000	
5	金礦	草药矿石/金矿石.obj	7				710000	
6	玄鐵礦	草药矿石/玄铁矿石.obj	7				710000	
7	水晶礦	草药矿石/水晶矿石.obj	7				710000	
8	翡翠礦	草药矿石/翡翠矿石.obj	7				710000	
9	真武礦	草药矿石/真武矿石.obj	7				710000	
10	龍血礦	草药矿石/龙血矿石.obj	7				710000	
11	鳳血礦	草药矿石/凤血矿石.obj	7				710000	
12	女媧石	草药矿石/女娲石.obj	7				710000	
13	昆山礦玉	草药矿石/昆山矿玉.obj	7				710000	
14	眾生礦石	草药矿石/众生矿石.obj	7				710000	
31	種植牌	0物品/铁幌子.mesh	11				711003	
32	小麥	0灌木/小灌1.mesh	-1				711004	
33	小麥熟	0灌木/大灌1.mesh	11				711005	
34	出鬼水缸	0物品/水缸1.mesh	12				713000	
35	魚群	小动物/鱼群02.mesh	10				712000	
36	藏寶點	0物品/水缸1.mesh	13				713000	
49	白狼大王寶箱	0物品/镖箱.mesh	26				715000	
50	烽火臺	0物品/镖箱.mesh	26				715001	
51	六品葉人參	长白山/人参2.mesh	26				715002	
93	散落的柴火	师门任务/木柴.obj	26				715007	
94	散落的蘑菇	师门任务/蘑菇.obj	26				715008	
95	散落的松果	师门任务/松果.obj	26				715009	
96	滿月	师门任务/满月.obj	26				715003	
97	眼兒媚	师门任务/眼儿媚.obj	26				715004	
98	紅妝素裹	师门任务/红妆素裹.obj	26				715005	
99	抓破美人臉	0物品/仙莲子.mesh	26				715006	
101	白英	草药矿石/红花.obj	8				710000	
102	蒲黃	草药矿石/青叶.obj	8				710000	
103	川貝	草药矿石/川贝.obj	8				710000	
104	元胡	草药矿石/元胡.obj	8				710000	
105	枇杷	草药矿石/枇杷.obj	8				710000	
106	甘草	草药矿石/甘草.obj	8				710000	
107	金銀花	草药矿石/枸杞子.obj	8				710000	
108	黃芩	草药矿石/黃芩.obj	8				710000	
109	枸杞	草药矿石/枸杞子.obj	8				710000	
110	沉香	草药矿石/枇杷.obj	8				710000	
111	杜仲	草药矿石/杜仲.obj	8				710000	
112	蒼術	草药矿石/苍术.obj	8				710000	
113	茯苓	草药矿石/茯苓.obj	8				710000	
114	防風	草药矿石/防风.obj	8				710000	
115	香薷	草药矿石/香薷.obj	8				710000	
116	黃連	草药矿石/元胡.obj	8				710000	
117	當歸	草药矿石/青叶.obj	8				710000	
118	桂心	草药矿石/双花.obj	8				710000	
119	香附	草药矿石/桅子.obj	8				710000	
120	藿香	草药矿石/苍术.obj	8				710000	
121	回神草	草药矿石/香薷.obj	8				710000	
122	首烏	草药矿石/元胡.obj	8				710000	
123	冬蟲夏草	草药矿石/红花.obj	8				710000	
124	龍葵籽	草药矿石/黃芩.obj	8				710000	
125	象貝	草药矿石/枇杷.obj	8				710000	
126	人參	草药矿石/川贝.obj	8				710000	
127	靈芝	草药矿石/防风.obj	8				710000	
128	荀草	草药矿石/茯苓.obj	8				710000	
129	蓮子	草药矿石/甘草.obj	8				710000	
130	枯木春	草药矿石/枸杞子.obj	8				710000	
201	草魚	小动物/鱼群03.model	9				712000	
202	鯽魚	小动物/鱼群03.model	9				712000	
203	鰱魚	小动物/鱼群03.model	9				712000	
