INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Pet ID	Name $ 1 $	Pet type	Level	Camp	Bien di	bao bao	Food category	Can learn a few skills	Active skill	Active generation probability (1/100w)	Active skill 2	Active generation probability (1/100w)	Passive Skills 1	Generate passive skills 1 chance (1/100W)	Passive 2	Generate passive skills 2 chance (1/100W)	Passive 3	Generate passive skills 3 chance (1/100W)	Passive 4	Generate passive skills 4 chance (1/100W)	Passive 5	±»¶¯¼¼ÄÜ5Éú³É¼¸ÂÊ£¨1/100W£©	Passive 6	±»¶¯¼¼ÄÜ6Éú³É¼¸ÂÊ£¨1/100W£©	Passive 7	±»¶¯¼¼ÄÜ7Éú³É¼¸ÂÊ£¨1/100W£©	Passive 8	±»¶¯¼¼ÄÜ8Éú³É¼¸ÂÊ£¨1/100W£©	Passive 9	±»¶¯¼¼ÄÜ9Éú³É¼¸ÂÊ£¨1/100W£©	Passive 10	±»¶¯¼¼ÄÜ10Éú³É¼¸ÂÊ£¨1/100W£©	Th÷ m®nh	Cuong luc	TC Th¬ Lñc	TC Nµi lñc	tri luc	than phap	Growth rate of 1	Growth rate of 2	Growth rate of 3	Growth rate of 4	Growth rate of 5	Timid (1 / 1000)	Can than(1/1000)	trung thuc(1/1000)	tinh minh(1/1000)	dung manh(1/1000)	Pet breeding time (ms)	Jane animals of similar types of reference
558	Phiêu Phiêu Áp	298	1	9	1	0	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	208	208	208	208	208	500	550	575	650	750	900	50	20	20	10	900000	558
559	Phiêu Phiêu Th¯	299	1	9	1	0	100	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	208	208	208	208	208	500	550	575	650	750	900	50	20	20	10	900000	559
3000	Th¯ Trß·ng Thành	300	5	9	0	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	900000	3000
3001	Th¯ Biªn D¸	300	5	9	1	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	742	848	1379	848	1166	540	594	621	702	810	150	800	20	20	10	900000	3000
3009	Th¯ TØ Bäo Bäo	300	5	9	0	1	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	900000	3000
3010	Yªn TØ Trß·ng Thành	301	5	9	0	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	900000	3010
3011	Yªn TØ Biªn D¸	301	5	9	1	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1060	954	848	1379	742	540	594	621	702	810	10	20	800	20	150	900000	3010
3019	Yªn TØ Bäo Bäo	301	5	9	0	1	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	900000	3010
3020	Quy Trß·ng Thành	302	5	9	0	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	734	1060	652	652	734	540	594	621	702	810	800	150	20	20	10	900000	3020
