INT	INT
宠物等级	升级经验
1	45
2	162
3	315
4	576
5	891
6	1305
7	1832
8	2484
9	2808
10	3024
11	3299
12	3616
13	3993
14	4520
15	5233
16	5994
17	6974
18	8197
19	9688
20	10195
21	12060
22	14227
23	16718
24	19555
25	22968
26	27000
27	31471
28	36403
29	41818
30	43268
31	50495
32	58288
33	66667
34	75650
35	85258
36	95508
37	100338
38	111268
39	119134
40	122958
41	134987
42	147798
43	161417
44	175867
45	191174
46	207360
47	216969
48	230347
49	239657
50	248565
51	256994
52	270270
53	289460
54	309546
55	330548
56	338386
57	360364
58	383279
59	407151
60	432000
61	438768
62	464508
63	491240
64	518982
65	535845
66	553707
67	586922
68	623700
69	664161
70	676223
71	722216
72	772065
73	825883
74	883783
75	903681
76	972720
77	1049031
78	1132830
79	1224333
80	1280551
81	1381820
82	1546723
83	1788372
84	2114046
85	2524832
86	3015266
87	3572969
88	4178295
89	4803962
90	5414696
91	5966874
92	6408158
93	6677141
94	7373277
95	8006303
96	8538818
97	8928380
98	10431234
99	12110143
100	12302596
101	12500271
102	12703273
103	12911711
104	13125693
105	13345327
106	13570722
107	13801984
108	14039222
109	14282544
110	14532058
111	14787873
112	15050095
113	15318833
114	15594195
115	15876289
116	16165224
117	16461106
118	16764044
119	17074146
120	17391520
121	17716275
122	18048517
123	18388355
124	18735897
125	19091251
126	19454526
127	19825828
128	20205266
129	20592948
130	20988982
131	21393477
132	21806539
133	22228277
134	22658799
135	23098213
136	23546628
137	24004150
138	24470888
139	24946950
140	25432444
141	25927479
142	26432161
143	26946599
144	27470901
145	28971768
146	30663090
147	32559193
148	34674696
149	37024500
150	37024500
151	37024500
152	37024500
153	37024500
154	37024500
155	37024500
156	1031973
157	1074283
158	1116593
159	1158903
160	1201213
161	1243523
162	1285833
163	1328143
164	1370453
165	1412763
166	1455073
167	1497383
168	1539693
169	1582003
170	1624313
171	1666623
172	1708933
173	1751243
174	1793553
175	1835863
176	1878173
177	1920483
178	1962793
179	2005103
180	2047413
181	2089723
182	2132033
183	2174343
184	2216653
185	2258963
186	2301273
187	2343583
188	2385893
189	2428203
190	2470513
191	2512823
192	2555133
193	2597443
194	2639753
195	2682063
196	2724373
197	2766683
198	2808993
199	2851303
200	2893613
201	2935923
202	2978233
203	3020543
204	3062853
205	3105163
206	3147473
207	3189783
208	3232093
209	3274403
210	3316713
211	3359023
212	3401333
213	3443643
214	3485953
215	3528263
216	3570573
217	3612883
218	3655193
219	3697503
220	3739813
221	3782123
222	3824433
223	3866743
224	3909053
225	3951363
226	3993673
227	4035983
228	4078293
229	4120603
230	4162913
231	4205223
232	4247533
233	4289843
234	4332153
235	4374463
236	4416773
237	4459083
238	4501393
239	4543703
240	4586013
241	4628323
242	4670633
243	4712943
244	4755253
245	4797563
246	4839873
247	4882183
248	4924493
249	4966803
250	5009113
251	5051423
252	5093733
253	5136043
254	5178353
255	0
