INT	INT	INT	INT	STRING	INT	STRING	STRING
ID(µÝÔö)	CLASS	LEVEL	²ÛÎ»£¨Î´ÊµÏÖ£©	³ÆºÅ£¨ÏÞ³¤20¸öCHAR£©$1$	ÓÐÐ§ÆÚ£¨Ð¡Ê±£¬Î´ÊµÏÖ£©	COLOR	ÃèÊö$1$
0	0	1	-1	Thiên linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính s½ c¤p #rThiên ngñ chi tÑc, hÕo hÕo thánh linh."
1	0	2	-1	Thiên linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính s½ c¤p #rThiên ngñ chi tÑc, hÕo hÕo thánh linh."
2	0	3	-1	Thiên linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính s½ c¤p #rThiên ngñ chi tÑc, hÕo hÕo thánh linh."
3	0	4	-1	Thiên linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính s½ c¤p #rThiên ngñ chi tÑc, hÕo hÕo thánh linh."
4	0	5	-1	Thiên linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính s½ c¤p #rThiên ngñ chi tÑc, hÕo hÕo thánh linh."
5	0	6	-1	Thiên linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính s½ c¤p #rThiên ngñ chi tÑc, hÕo hÕo thánh linh."
6	0	7	-1	Th¥n ph® tiên thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính cao c¤p #rThánh tiêu kinh h°ng, tiên h°n tý hµ. "
7	0	8	-1	Th¥n ph® tiên thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính cao c¤p #rThánh tiêu kinh h°ng, tiên h°n tý hµ. "
8	0	9	-1	Th¥n ph® tiên thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính cao c¤p #rThánh tiêu kinh h°ng, tiên h°n tý hµ. "
9	0	10	-1	Th¥n ph® tiên thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú ngµ tính cao c¤p #rThánh tiêu kinh h°ng, tiên h°n tý hµ. "
10	1	0	-1	Phong linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t s½ c¤p #rVån phong nhi hành, tâm hæu linh tê."
11	1	1	-1	Phong linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t s½ c¤p #rVån phong nhi hành, tâm hæu linh tê."
12	1	2	-1	Phong linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t s½ c¤p #rVån phong nhi hành, tâm hæu linh tê."
13	1	3	-1	Phong linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t s½ c¤p #rVån phong nhi hành, tâm hæu linh tê."
14	1	4	-1	Phong linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t s½ c¤p #rVån phong nhi hành, tâm hæu linh tê."
15	1	5	-1	Phong linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t s½ c¤p #rVån phong nhi hành, tâm hæu linh tê."
16	1	6	-1	Vân hoang th¥n thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t cao c¤p #rÐ¢ng vân phiêu diêu, bát hoang chi th¥n."
17	1	7	-1	Vân hoang th¥n thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t cao c¤p #rÐ¢ng vân phiêu diêu, bát hoang chi th¥n."
18	1	8	-1	Vân hoang th¥n thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t cao c¤p #rÐ¢ng vân phiêu diêu, bát hoang chi th¥n."
19	1	9	-1	Vân hoang th¥n thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú tß ch¤t cao c¤p #rÐ¢ng vân phiêu diêu, bát hoang chi th¥n."
20	2	1	-1	Ð¸a linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tÖ l® trß·ng thành s½ c¤p #rÐ¸a tàng t× bi,  thu¥n linh chi thi®n."
21	2	2	-1	Ð¸a linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tÖ l® trß·ng thành s½ c¤p #rÐ¸a tàng t× bi,  thu¥n linh chi thi®n."
22	2	3	-1	Ð¸a linh thú	-1	#e195e1a#c72d27c	"[Ðã vÑt bö] Danh hi®u trân thú tÖ l® trß·ng thành s½ c¤p #rÐ¸a tàng t× bi,  thu¥n linh chi thi®n."
23	2	4	-1	Th¥n thß½ng tiên thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú tÖ l® trß·ng thành cao c¤p #rThß½ng khung cØu phách, th¥n tÑ chi thú."
24	2	5	-1	Th¥n thß½ng tiên thú	-1	#ebb3e9f#cfd94b0	"[Ðã vÑt bö] Danh hi®u trân thú tÖ l® trß·ng thành cao c¤p #rThß½ng khung cØu phách, th¥n tÑ chi thú."
100001	3	100	-1	Linh Thú	-1	#e195e1a#c72d27c	#YTß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100002	3	200	-1	Thánh thú	-1	#e195e1a#c72d27c	#YTß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100003	3	300	-1	Tiên thú	-1	#e195e1a#c72d27c	#YTß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100004	3	400	-1	Th¥n thú	-1	#ebb3e9f#cfd94b0	#YTß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100010	3	111	-1	Ð¸a thú	-1	#e195e1a#c72d27c	#YTrß·ng thành #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100011	3	211	-1	Ð¸a linh thú	-1	#e195e1a#c72d27c	"#YTrß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100012	3	311	-1	Ð¸a thánh thú	-1	#e195e1a#c72d27c	"#YTrß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100013	3	411	-1	Ð¸a tiên thú	-1	#ebb3e9f#cfd94b0	"#YTrß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100014	3	511	-1	Ð¸a th¥n thú	-1	#ebb3e9f#cfd94b0	"#YTrß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100020	3	222	-1	Thiên thú	-1	#e195e1a#c72d27c	#YTrß·ng thành #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100021	3	322	-1	Thiên linh thú	-1	#e195e1a#c72d27c	"#YTrß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100022	3	422	-1	Thiên thánh thú	-1	#ebb3e9f#cfd94b0	"#YTrß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100023	3	522	-1	Thiên tiên thú	-1	#ebb3e9f#cfd94b0	"#YTrß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100024	3	622	-1	Thiên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100030	3	333	-1	Nguyên thú	-1	#e195e1a#c72d27c	#YTrß·ng thành #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100031	3	433	-1	Nguyên linh thú	-1	#ebb3e9f#cfd94b0	"#YTrß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100032	3	533	-1	Nguyên thánh thú	-1	#ebb3e9f#cfd94b0	"#YTrß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100033	3	633	-1	Nguyên tiên thú	-1	#e96491f#gFF0FA0	"#YTrß·ng thành, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100034	3	733	-1	Nguyên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100040	3	444	-1	Siêu thú	-1	#ebb3e9f#cfd94b0	#YTrß·ng thành #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100041	3	544	-1	Siêu linh thú	-1	#ebb3e9f#cfd94b0	"#YTrß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100042	3	644	-1	Siêu thánh thú	-1	#e96491f#gFF0FA0	"#YTrß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100043	3	744	-1	Siêu tiên thú	-1	#e96491f#gFF0FA0	"#YTrß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100044	3	844	-1	Siêu th¥n thú	-1	#e96491f#gFF0FA0	"#YTrß·ng thành, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100100	3	210	-1	Trß¶ng sinh thú	-1	#e195e1a#c72d27c	#YNgµ tính #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100101	3	310	-1	Trß¶ng sinh linh thú	-1	#e195e1a#c72d27c	"#YNgµ tính, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100102	3	410	-1	Trß¶ng sinh thánh thú	-1	#ebb3e9f#cfd94b0	"#YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100103	3	510	-1	Trß¶ng sinh tiên thú	-1	#ebb3e9f#cfd94b0	"#YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100104	3	610	-1	Trß¶ng sinh th¥n thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100110	3	321	-1	Trß¶ng sinh ð¸a thú	-1	#e195e1a#c72d27c	"#YNgµ tính, Trß·ng thành #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100111	3	421	-1	Trß¶ng sinh ð¸a linh thú	-1	#ebb3e9f#cfd94b0	"#YNgµ tính, Trß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100112	3	521	-1	Trß¶ng sinh ð¸a thánh thú	-1	#ebb3e9f#cfd94b0	"#YTrân thú có ngµ tính, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100113	3	621	-1	Trß¶ng sinh ð¸a tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
