INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	833	91.1551	138.1598
2	833	78.4483	147.5952
3	833	66.5178	121.4831
4	833	60.802	96.0649
5	833	48.5621	97.1834
6	833	57.347	137.393
7	833	65.7193	144.2506
8	833	71.9346	157.762
9	833	34.9452	142.1868
10	833	41.6898	151.5179
11	833	37.5846	106.3705
12	833	39.6026	83.2967
13	833	50.3808	51.4771
14	833	103.1368	52.8303
15	833	125.2609	68.3147
16	834	105.1465	147.7561
17	834	115.7456	122.1407
18	834	125.9479	107.937
19	834	137.6252	138.5371
20	834	130.9982	159.9171
21	834	155.3387	146.6748
22	834	156.62	116.1997
23	834	125.2771	88.4756
24	834	132.7745	59.5518
25	834	99.6622	93.8008
26	834	37.1794	140.2327
27	834	37.3396	122.7542
28	834	52.7848	103.4276
29	834	61.6838	85.1676
30	834	50.4487	60.9095
31	835	85.1546	51.9047
32	835	50.7439	40.9948
33	835	33.8564	54.8319
34	835	119.5541	96.9883
35	835	123.9832	126.0209
36	835	154.3039	82.3034
37	835	142.7458	97.6031
38	835	137.5385	87.3826
39	835	79.2985	33.8821
40	835	111.202	33.7656
41	835	66.7982	44.7166
42	835	58.1762	33.5507
43	835	67.1128	66.2855
44	835	84.1296	93.3028
45	835	94.0697	138.4156
