INT	INT	INT	STRING
index	BeginDate	EndDate	info
#<0>index	Ë÷Òý		
#<1>BeginDate	¿ªÊ¼Ê±¼ä£¨Àý£º20061204£©		
#<2>EndDate	½áÊøÊ±¼ä£¨Àý£º20061204£©		
#<3>info	ÏûÏ¢ÄÚÈÝ		
#			
0	20101010	20101010	Chào m×ng ngày giäi phóng thü ðô 10/10
1	20101020	20101020	Chào m×ng ngày Phø næ Vi®t Nam, chúc các b¢ng hæu næ ngày càng xinh ð©p h½n
2	20101101	20101101	Hôm nay là ngày l­ VÕn Thánh cüa Phß½ng Tây, Thiên Long Bát Bµ chúc bÕn ngày l­ vui vë
3	20101120	20101120	Chào m×ng ngày Nhà giáo Vi®t Nam, Thiên Long Bát Bµ chúc các quý th¥y cô ðßþc nhi«u sÑc khoë
4	20101122	20101122	Hôm nay là ngày l­ TÕ ½n cüa Phß½ng Tây, Thiên Long Bát Bµ chúc bÕn có mµt ngày l­ vui vë
5	20101222	20101222	Chào m×ng ngày thành l§p Quân ðµi Nhân dân Vi®t Nam
6	20101224	20101224	Thiên Long Bát Bµ kính chúc quý b¢ng hæu ðêm Giáng Sinh an lành, nhi«u sÑc khoë
7	20101225	20101225	Nhân d¸p Giáng Sinh, b±n môn kính chúc t¤t cä các b¢ng hæu mµt mùa Giáng Sinh yên bình và hÕnh phúc cùng ngß¶i thân
8	20100101	20100101	Nåm m¾i b¡t ð¥u, vÕn v§t ð±i m¾i, Thiên Long Bát Bµ chúc quý b¢ng hæu trong nåm m¾i ß¾c gì ðßþc n¤y, vÕn sñ nhß ý
9	20100206	20100206	Ðêm nay là là ðêm giao th×a, ðèn hoa rñc rÞ, vÕn gia ðoàn viên. Thiên Long Bát Bµ chúc các b¢ng hæu có mµt ðêm giao th×a t¯t lành
10	20100207	20100207	Nhân d¸p nåm m¾i, chúc quý b¢ng hæu mµt nåm m¾i an khang, th¸nh vßþng, tràn ng§p ni«m vui và hÕnh phúc, phát tài phát lµc, su¯t ð¶i bình an
11	20100214	20100214	Hôm nay là ngày l­ tình nhân cüa Phß½ng Tây. Mong nhæng ngß¶i yêu nhau trong thiên hÕ s¨ ðßþc s¯ng bên nhau, Thiên Long Bát Bµ chúc bÕn mãi mãi hÕnh phúc
12	20100203	20100203	Chào m×ng ngày thành l§p Ðäng Cµng Sän Vi®t Nam
13	20100227	20100227	Chào m×ng ngày Th¥y thu¯c Vi®t Nam
14	20100308	20100308	Chào m×ng ngày Qu¯c Tª Phø Næ
15	20100415	20100415	M×ng ngày Gi² T± Hùng Vß½ng
16	20100430	20100430	Chào m×ng ngày Giäi phóng Mi«n Nam 30/04
17	20100501	20100501	Chào m×ng ngày Qu¯c Tª Lao Ðµng 01/05
18	20100601	20100601	Hôm nay là ngày Qu¯c tª thiªu nhi, Thiên Long Bát Bµ chúc các b¢ng hæu mãi mãi mang trong mình trái tim cüa trë th½
19	20100622	20100622	Hôm nay là ngày l­ giành cho các ông b¯, Thiên Long Bát Bµ nh¡c bÕn ð×ng quên gØi ðªn phø thân cüa mình l¶i thåm höi nhân d¸p này
20	20100727	20100727	Chào m×ng ngày Thß½ng binh Li®t sî Vi®t Nam
21	20100815	20100815	Nhân ngày l­ Vu Lan, Thiên Long Bát Bµ nh¡c bÕn ð×ng quên gØi ðªn mçu thân cüa mình l¶i chúc t¯t ð©p nh¤t
22	20100902	20100902	Chào m×ng ngày Qu¯c khánh Vi®t Nam 02/09
23	20100914	20100914	Hoa ð©p trång tròn, tªt Trung thu ðªn r°i, Thiên Long Bát Bµ chúc bÕn MÛ mÛ mãn mãn, ðßþc ðoàn tø cùng gia ðình
24	20101101	20101101	Hôm nay là ngày l­ VÕn Thánh cüa Phß½ng Tây, Thiên Long Bát Bµ chúc bÕn ngày l­ vui vë
25	20101122	20101122	Hôm nay là ngày l­ TÕ ½n cüa Phß½ng Tây, Thiên Long Bát Bµ chúc bÕn có mµt ngày l­ vui vë
26	20101224	20101224	Hôm nay là mµt ðêm bình an, Thiên Long Bát Bµ chúc bÕn vui vë
27	20101225	20101225	Hôm nay là ngày l­ giáng sinh, trong th¶i kh¡c Thánh ra ð¶i trong tuyªt tr¡ng bay bay, ta chúc ngß½i bình an
