INT	STRING
ID	×Ö·û´®$1$
0	You were %s killed!
1	You slained him %s, because he murdered too much, which deserve to be punished. His equipments fell out near here, looking for it!
2	@*;SrvMsg;GLD:Our Guild's trader #{_INFOUSR%s} was unfortunately killed and robbed when doing the trading mission#{_INFOUSR%s} by members of the Guild #G[%s]#W, the money#{_MONEY%d} of the bank and the trading item have lost, so distasteful.
3	@*;SrvMsg;GLD:Our Guild's trader #{_INFOUSR%s}when doing the trading mission was unfortunately #{_INFOUSR%s} killed. Banknote's value and trading item #{_MONEY%d} have lost, 
4	Unidentified assault, you are currently under defensive status!
5	Item was locked, cannot appraise!
6	Back to trading table!
7	Inventory
8	Being tired, cannot receive mission!
9	You sent a challenge, waiting for oppenent's reply
10	#RWhen the value of crime point is equal or bigger than 10 you will be sent to jail
11	Two
12	Three
13	Four
14	Five
15	Six
16	Chi 
17	You are free now, we suggest you to obey the game's rules, enjoy!
18	#YSorry! Because %s of you #B[%s]#Y was expired which was deleted.
19	In the inventory
20	In the metarial bag
21	On body
22	In bank
23	Server not responding
24	Server full
25	You are moving to 
26	You need to move 
27	You are using unidentified program, cannot move to other scene!
28	Your freedom was ristricted, cannot teleport, %d minutes to rehabilitate!
29	Cannot use circumstance target
30	Cannot use city target 
31	Server is full
32	Server's endurance is too high
33	Full scene target cannot response
34	Value of this banknote is maximum #{_MONEY%d}. 
35	Follower %s of you dedicate you %d exp point which you can receive at the councellor. 
36	Congratulation, successfully upgrade your pet's savvy to  +1
37	#W#{_INFOUSR%s}#c00FFFFAfter lots of efforts, upgraded the savvy of#{_INFOMSG%s}to#Y%d#c00FFFF, make your pet's aptitude increase.
38	Upgrade failed, your pet's savvy is %d
39	Your talking function was rehabilitated, please voluntarily obey the game's rule, enjoy!
40	You need to be in jail for %d minutes, and deducted all received exp at the present!
41	You need to be in jail for %d minutes, 
42	Your number of felony was branded, before it reachs to 3 you can freely go out!
43	#{_INFOUSR%s}#Y Probing information about your equipment and pet.
44	Please upgrade the discipline of all seven class skill books to level 80. 
45	#cffffcc Congratulation, your follower#W%s#cffffcc increased#G%d level#cffffcc. But the friendship between you was#G0#cffffcc, so you cannot receive the gift when they level up, interest in your follower more.
46	Acceded a guild level %d
47	Acceded guild is level %d, deduct half of the reward exp. 
48	Do not accede a guild, deduct half of the reward exp.
49	Good 
50	Normal
51	Bad
52	#cffffcc Congratulation, your follwer#W%s#cffffcc increase to#Y%d level#cffffcc. %s#cffffccAnd commented that you were#Y%s#cffffcc, so beside receiving #Y%d%%#cffffcc reward exp, you gain additional #Y%d#cffffcc exp, go to councellor #RElder Nieh#cffffcc in Da Li, use Moral to exchange point.
53	#cffffcc Announcement: #W#{_INFOUSR%s}#cffffcc taught his follwer#{_INFOUSR%s}#cffffcc increase to#Y%d level#cffffcc, court specailly award #Y%d#cffffcc exp.
54	#cffffcc People said that, #W#{_INFOUSR%s}#cffffcc knows how to teach, follower #{_INFOUSR%s}#cffffcc increased to #Y%d level#cffffcc, and awarded by community#Y%d exp.
55	#{_INFOUSR%s}#cffffcc for teaching follower #{_INFOUSR%s}#cffffcc upgrade to #Y%d level#cffffcc community award #Y%d#cffffcc exp.
56	#cffffcc Announcement: #W#{_INFOUSR%s}#cffffcc taught his follwer#{_INFOUSR%s}#cffffcc increase to #Y%d level#cffffcc, and guide him to accede a guild, court specially award#Y%d#cffffcc exp.
57	#cffffcc People said that, #W#{_INFOUSR%s}#cffffcc knows how to teach, follower #{_INFOUSR%s}#cffffcc  increased to #Y%d level#cffffcc, and guide him to accede a guild, court specially award #Y%d exp.
58	#W#{_INFOUSR%s}#cffffcc for teaching follower #{_INFOUSR%s}#cffffcc upgrade to#Y%d#cffffcc level and guide him to accede a guild, court specially award #Y%d#cffffcc exp.
59	#cffffccWhen the friendship in the relationship between teacher and follower is equal 1000, obtain the total exp reward.
60	#cffffcc The friendship in the relationship between teacher and follower is not equal 1000, so the exp reward is#Y%.2f%%. 
61	Your pet's level is higher than yours %d level so it will not receive exp anymore. 
62	Quäi c½ chung kªt giä
63	Excuse me, only friend relationship can get marriage.
64	Excuse me, only marriage relationship can divorce.
65	Excuse me, only friend relationship can worship.
66	Excuse me, only friend can worship.
67	Excuse me, just perform this act with your master.
68	Excuse me,  just perform this act with your follower.
69	Grocery store
70	Your store's fund is 50% lower than the origin fund, please recharge, or your store will have to close.
71	So sorry,store was closed, redundant commodities were taken away.
72	#{_TIME%d}: #YSell #W[#R#{_ITEM%d}#W]X%d, Earn #{_MONEY%d}
73	#{_TIME%d}: #YSell #W[#R%s#W]X%d, Earn #{_MONEY%d}
74	#{_TIME%d}: %s#Y Import #W[#R#{_ITEM%d}#W]X%d Packages.
75	#{_TIME%d}: %s#Y Gain #W[#R#{_ITEM%d}#W]X%d Packages.
76	#{_TIME%d}: %s#Y Import #W[#R%s#W]X%d Packages.
77	#{_TIME%d}: %s#Y Gain #W[#R%s#W]X%d Packages.
78	#{_TIME%d}: %s#Y price up #Walready [#R#{_ITEM%d}#W]X%d Packages, standard price #r#{_MONEY%d}
79	#{_TIME%d}: %s#Y price down #Walready [#R#{_ITEM%d}#W]X%d Packages, origin price #r#{_MONEY%d}
80	#{_TIME%d}: %s#Y price up #Walready [#R%s#W]X%d Packages, standard price #r#{_MONEY%d}
81	#{_TIME%d}: %s#Y price down#Walready[#R%s#W]X%d Packages, origin price #r #{_MONEY%d}
82	#{_TIME%d}: %s#Y Opening #W stand number %d.
83	#{_TIME%d}: %s#Y Closing #W stand number %d.
84	#{_TIME%d}: %s Enter the store #Y enter the fund money#r #{_MONEY%d}
85	#{_TIME%d}: %s Get in#Y enter interest money #r #{_MONEY%d}
86	Welcome to my store!
87	Illegal personal information.
88	This item is not loaded up to your bank!
89	Bank
90	Illegal architecture item. 
91	Illegal item. 
92	Bilateral trade is disunion, cannot carry out the trade. 
93	Cannot perform this act under protection status. 
94	Performing too quick, need to wait.
95	There are no banknote, cannot buy.
96	Money and banknote reached the limitation, cannot buy anymore.
97	Not enough silver to buy!
98	Money and banknote are not enough, cannot buy anymore!
99	Not enough guild point to buy!
100	Inventory is full, cannot buy anymore!
101	The item does not exist. 
102	Have no banknote, cannot sell out.
103	Having no guild to form a citadel. 
104	Already have a citadel. 
105	Not enough gold!
106	Only Guild Master can form a citadel. 
107	Your level is under 20, cannot change the PK status!
108	Wrong security password!
109	You are wearing outer item, cannot use skills!
110	Your freedom is ristricted, %d to rehabilitate!
111	Your talking function was banned for %d minutes.
112	#RMÑc trß·ng thành?%f
113	#RHave not found the pet as designated yet!
114	You cannot passively cancel this buff.
115	#YYour gold is beyond limitation, spend it. Lßu ý: Do not #Rlog out or move to other map#Y, or you will lose these beyond gold.
116	Not enough level, cannot form a guild. 
117	Not enough gold, cannot form a guild 
118	Invitation failed for being under unparty status.
119	Illegal name, cannot form a guild. 
120	Illegal status, cannot form a guild.
121	Illegal status, cannot change.
122	Illegal bill, cannot change.
123	Illegal friend news.
124	This item has been chosen.
125	Cannot put in my store.
126	Item was joined.
127	You are using unidentifed program, cannot open!
128	Your freedom was ristricted, cannot open %d minutes to rehabilitate!
129	Level of the pet is %d, you cannot carry at the moment.
130	%s all put in your store
131	%s ÐÕi chß·ng qu¥y
132	Illegal status!
133	Illegal store name.
134	Correct answer, you get #{_MONEY%d} repay!
135	Correct answer!
136	Illegal pet name.
137	Cannot sell with that price
138	#{_INFOUSR%s} buy #{_INFOMSG%s} X %d, total cost #{_MONEY%d}
139	#{_INFOUSR%s} buy pet #{_INFOMSG%s}, total cost #{_MONEY%d}
140	Put off equiped inventory for more equipment.
141	Put off equiped store for more equipment.
142	You used unidentified program, cannot use items.
143	Inventory full.
144	#-08 %s Guild Master
145	You sent %s guild a massage, waiting for guild to process.
146	%s Guild Member
147	Welcome %s, we will fight side by side.
148	0
149	Character's talking function was rehabilitated, voluntarily obey the game rules, enjoy!
150	Pet receiving successful, you can let them continue giving birth.
151	Your pet %s and %s Pet %s are joyfully romping.
152	After %d minutes, you can take the second genaration pet back to you.
153	Yo must %s create party and outrival to receive.
154	Out of touch with friends in guild.
155	Cannot find friends in guild...
156	Guild's gold reached the limitation. 
157	Content changed, please turn on from the beginning. 
158	The Guild Point is beyond %d points, act performing fail.
159	The Guild Point is under 0 point, act performing fail.
160	The set up Guild Point is  %d points
161	You got  %d Guild Points.
162	You spent %d Guild Points.
163	Please join in a guild first.
164	Vice Guild Master, needs agreement to be Guild Master, the condition is that the Guild Master was not online for one week or more, you seems not to be the Vice Guild Master. 
165	Act performing failed for being member of an other guild. 
166	Being tired, cannot assign mission.
167	Cannot find this problem on data center, please check back!
168	#{_INFOUSR%s} #Ybuild this citadel #R#{CityBuildingName_T%d_L%d} #Ymore brick to accelerate progress +1, remain %d times of building mission to success.
169	#{_INFOUSR%s}#Y analysed this citadel #R#{_ITEM%d} #Yso hard which make the progress up +1%d times of analysing mission to success.
170	Guild's industry value increases to %d
171	Guild's agriculture value increases to %d
172	Guild's commerce value increases to %d
173	Guild's defense value increases to %d
174	Guild's science and technique value increases to %d
175	Guild's expansion value increases to %d
176	Guild's gold increases to #{_MONEY%d}
177	#YYour Guild Point at the moment is %d points.
178	Guild's industry value increases to %d
179	Guild's agriculture value increases to %d
180	Guild's commerce value increases to %d
181	Guild's defense value increases to %d
182	Guild's science and technique value increases to %d
